date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424
1/1/2015,Quarter1,finishing ,Thursday,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865
1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.8005704920000001
1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.8003819440000001
1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
1/1/2015,Quarter1,finishing ,Thursday,2,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247
1/1/2015,Quarter1,finishing ,Thursday,8,0.75,2.9,,960,0,0.0,0,0,8.0,0.676666667
1/1/2015,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160,0,0.0,0,0,18.0,0.593055556
1/1/2015,Quarter1,finishing ,Thursday,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.5407291670000001
1/3/2015,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600,0,0.0,0,0,20.0,0.9880246909999999
1/3/2015,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640,0,0.0,0,0,17.0,0.987880435
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314
1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.8003229359999999
1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.8002372879999999
1/3/2015,Quarter1,finishing ,Saturday,2,0.8,4.15,,960,0,0.0,0,0,8.0,0.782447917
1/3/2015,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
1/3/2015,Quarter1,sweing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038
1/3/2015,Quarter1,finishing ,Saturday,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.6283333329999999
1/3/2015,Quarter1,finishing ,Saturday,7,0.8,3.94,,960,0,0.0,0,0,8.0,0.6253125
1/4/2015,Quarter1,finishing ,Sunday,3,0.75,4.15,,1560,0,0.0,0,0,8.0,0.9913888890000001
1/4/2015,Quarter1,finishing ,Sunday,1,0.8,3.94,,960,0,0.0,0,0,8.0,0.915229167
1/4/2015,Quarter1,sweing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482
1/4/2015,Quarter1,finishing ,Sunday,4,0.8,3.94,,6600,0,0.0,0,0,20.0,0.8616790120000001
1/4/2015,Quarter1,sweing,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.8002378379999999
1/4/2015,Quarter1,finishing ,Sunday,2,0.8,3.94,,960,0,0.0,0,0,8.0,0.7921041670000001
1/4/2015,Quarter1,finishing ,Sunday,10,0.7,3.94,,4320,0,0.0,0,0,18.0,0.759228395
1/4/2015,Quarter1,sweing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.7503484570000001
1/4/2015,Quarter1,sweing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303
1/4/2015,Quarter1,finishing ,Sunday,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.682708333
1/4/2015,Quarter1,finishing ,Sunday,11,0.75,4.15,,960,0,0.0,0,0,8.0,0.34583333299999997
1/5/2015,Quarter1,finishing ,Monday,1,0.8,3.94,,1920,0,0.0,0,0,8.0,0.961059028
1/5/2015,Quarter1,finishing ,Monday,11,0.8,3.94,,2400,0,0.0,0,0,10.0,0.9395138890000001
1/5/2015,Quarter1,finishing ,Monday,3,0.75,4.15,,1920,0,0.0,0,0,8.0,0.875390625
1/5/2015,Quarter1,finishing ,Monday,9,0.8,2.9,,1920,0,0.0,0,0,8.0,0.8208333329999999
1/5/2015,Quarter1,sweing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962
1/5/2015,Quarter1,sweing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.8002460109999999
